"Discriminator","Quantity","Value","Footprint","LCSC Part #"
"C1, C3, C4, ","3","10uf","C_Small","0805","C15850"
"C2, C5, C6, C7, C9, C11, C12, C13, C14, ","9","100nf","C_Small","0402","C1525"
"C8, C10, ","2","20pf","C_Small","0402","C1554"
"D1, ","1","B5819W","D_Schottky_Small","SOD-123","C8598"
"D2, D3, ","2","RED","LED_Small","LED_0603","C2286"
"F1, ","1","500ma","Fuse_Small","0805","C90129"
"FB1, ","1","100 @ 100MHz","Ferrite_Bead_Small","0805","C1015"
"HSE1, ","1","25MHz","Crystal_GND24_Small","SMD-3225_4P","C9006"
"R1, R4, ","2","10k","R_Small","0402","C25744"
"R2, ","1","120k","R_Small","0402","C25750"
"R3, R5, ","2","2.2k","R_Small","0603","C4190"
"U1, ","1","SN65HVD230","SN65HVD230","SOIC-8_3.9x4.9x1.27P","C12084"
"U2, ","1","AMS1117-3.3","AMS1117-3.3","SOT-223","C6186"
"U3, ","1","USBLC6-2SC6","USBLC6-2SC6","SOT-23-6L","C7519"
"U4, ","1","STM32F105RBTx","STM32F105RBTx","LQFP-64_10.0x10.0x0.5P","C8349"
